year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1950,-0.4,-0.5,-0.4,-0.3,-0.1,0.1,0.2,0.1,-0.1,-0.1,0.0,0.0
1951,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.8,0.6,0.4,0.3,0.3
1952,0.2,0.1,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2
1953,0.0,0.1,0.3,0.4,0.4,0.4,0.3,0.2,0.3,0.4,0.4,0.3
1954,0.2,0.0,-0.2,-0.4,-0.5,-0.5,-0.6,-0.7,-0.7,-0.7,-0.7,-0.7
1955,-0.7,-0.7,-0.7,-0.7,-0.7,-0.8,-0.9,-1.0,-1.1,-1.2,-1.3,-1.2
1956,-0.9,-0.7,-0.5,-0.4,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.4
1957,-0.2,0.1,0.4,0.6,0.8,0.9,1.0,1.1,1.0,0.9,0.9,1.0
1958,1.2,1.1,0.9,0.6,0.3,0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.2
1959,-0.1,-0.1,0.0,0.0,0.0,0.1,0.1,0.0,-0.1,-0.1,-0.1,0.0
1960,0.1,0.1,0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,0.0,0.0,-0.1
1961,-0.1,-0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.2,0.3,0.3,0.2
1962,0.2,0.2,0.2,0.1,0.0,0.0,-0.1,-0.2,-0.3,-0.3,-0.3,-0.4
1963,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.4,0.5,0.6,0.7,0.8
1964,0.7,0.5,0.2,-0.1,-0.3,-0.5,-0.7,-0.8,-0.8,-0.8,-0.8,-0.8
1965,-0.7,-0.5,-0.2,0.1,0.4,0.7,1.0,1.2,1.4,1.6,1.8,1.8
1966,1.6,1.2,0.9,0.5,0.1,-0.2,-0.4,-0.4,-0.3,-0.3,-0.3,-0.4
1967,-0.4,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.1,0.0,-0.2,-0.4,-0.5
1968,-0.7,-0.8,-0.7,-0.5,-0.2,0.1,0.4,0.5,0.6,0.7,0.8,0.9
1969,1.0,1.1,1.1,1.0,0.8,0.6,0.4,0.3,0.2,0.3,0.5,0.7
1970,0.8,0.7,0.5,0.3,0.1,-0.3,-0.7,-0.9,-1.0,-1.1,-1.1,-1.2
1971,-1.3,-1.2,-1.1,-0.9,-0.7,-0.6,-0.6,-0.7,-0.8,-0.8,-0.8,-0.8
1972,-0.6,-0.4,-0.2,0.2,0.5,0.8,1.1,1.3,1.4,1.5,1.6,1.7
1973,1.8,1.6,1.2,0.8,0.4,-0.1,-0.6,-1.0,-1.3,-1.5,-1.7,-1.8
1974,-1.8,-1.6,-1.3,-1.0,-0.8,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6
1975,-0.5,-0.4,-0.3,-0.4,-0.5,-0.7,-0.9,-1.1,-1.3,-1.5,-1.6,-1.7
1976,-1.6,-1.4,-1.1,-0.7,-0.3,0.1,0.3,0.5,0.6,0.7,0.8,0.8
1977,0.7,0.6,0.4,0.3,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.9
1978,0.7,0.4,0.0,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.3,-0.3,-0.3
1979,-0.2,-0.1,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.3,0.5,0.6
1980,0.6,0.5,0.4,0.3,0.4,0.5,0.4,0.3,0.2,0.1,-0.1,-0.2
1981,-0.4,-0.5,-0.4,-0.3,-0.1,0.0,0.1,0.2,0.3,0.3,0.3,0.2
1982,0.1,0.1,0.2,0.5,0.7,0.9,1.2,1.5,1.8,2.0,2.1,2.2
1983,2.4,2.4,2.2,1.8,1.4,1.0,0.6,0.1,-0.3,-0.7,-1.0,-1.2
1984,-1.1,-0.9,-0.6,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4,-0.5
1985,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,0.0
1986,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.8,1.0,1.2,1.4
1987,1.5,1.6,1.4,1.2,1.0,1.1,1.4,1.6,1.7,1.7,1.5,1.4
1988,1.1,0.7,0.3,-0.2,-0.6,-1.0,-1.3,-1.5,-1.4,-1.3,-1.3,-1.5
1989,-1.6,-1.5,-1.2,-0.9,-0.6,-0.4,-0.3,-0.3,-0.4,-0.5,-0.6,-0.7
1990,-0.7,-0.5,-0.2,0.1,0.2,0.3,0.3,0.2,-0.1,-0.3,-0.4,-0.4
1991,-0.3,-0.1,0.2,0.5,0.7,0.8,0.9,1.0,1.1,1.2,1.5,1.7
1992,1.8,1.7,1.5,1.2,0.8,0.4,0.1,-0.3,-0.7,-0.9,-1.0,-0.9
